KR0008	􁀙
[((企-止+ㄒ)/正)*(素-糸+ㄆ)]	􂛛
[((來-(人*人)+(前-刖))*力)/厘]	􄟋
[((來-(人*人)+(前-刖))*力)/止]	􄌨
[((來-(人*人)+(前-刖))*力)/里]	􄙍
[((冗-几)@王)/(匚@一)]	􅊽
[((冰-水)*巳)/丁]	􅍧
[((冰-水+臨)-品+口)/皿]	􂑩
[((前-刖)+((巨-匚)@十))*隹]	􅟕
[((前-刖)/((巨-匚)@十))*鳥]	􅆣
[((前-刖+(巨-匚)@十))*皮]	􄜙
[((前-刖+(暴-(日/共)))/臼)*欠]	􄇊
[((前-則)/(雪-雨))*皮]	􃞽
[((匚@一)*殳)/云]	􄮺
[((十/工)*刀)/瓦]	􂓁
[((卄*十)/一)/(冉-二+＝)]	􅔰
[((厂@(甘/肉))*犬)/土]	􃪜
[((又*又)/夕)*鳥]	􃴆
[((叉-一)/口)*欠]	􄖼
[((口*上)/示)*(企-止+米)]	􅯱
[((口*匕)/矢)*(人/米)]	􂛹
[((口*口)/田)*比]	􂯣
[((嘹-口)-(日/小))-大+八]	􂎷
[((嘹-口)-(日/小)+目)*皮]	􃁀
[((嘹-口)-小)-日+(匚@一)]	􅐢
[((嘹-口)-小)-日+(工/十)]	􃬿
[((嘹-口)-小)-日+(羊-(前-刖)+一)]	􄆡
[((嘹-口)-小)-日+(隹/(〡*日))]	􅚙
[((嘹-口)-小)-日+亡]	􄴍
[((嘹-口)-小)-日+區]	􅣆
[((嘹-口)-小)-日+十]	􃰆
[((嘹-口)-小)-日+酉]	􂉦
[((嘹-口)-小)-日+隹]	􃖚
[((土/口)*殳)/牛]	􂇧
[((夕-、+一)/小)*(〡/下)]	􃞶
[((夕-、+一)/小)*十]	􃝎
[((夾-(人*人)+(前-刖))*ㄆ)/尾]	􃟌
[((夾-(人*人)+(前-刖))*力)/厘]	􄨂
[((夾-(人*人)+(前-刖))*力)/止]	􄋠
[((夾-(人*人)+(前-刖))*力)/毛]	􅄉
[((夾-(人*人)+(前-刖))*力)/里]	􄚡
[((夾-(人*人)+(前-刖))/ㄇ)*頁]	􃀩
[((姊-女)*力)/厘]	􄴦
[((孑-(今-(合-口)))+分)*ㄆ]	􂹮
[((宋-木+(夕*匕))*ㄆ)/石]	􃂴
[((宭-尹+工)*谷)/土]	􄔾
[((宭-尹+工)*谷)/心]	􅆄
[((尸@(口/冏))*犬)/手]	􃽧
[((巨-匚)/日)*(首-目+日)]	􃬢
[((巨-匚)@一)*(氘-气+田)]	􂳈
[((巨-匚)@一)/((└@矢)*匕)]	􂸿
[((巨-匚)@一)/(冗-几+木)]	􄈍
[((巨-匚)@一)/(土*凡)]	􃶷
[((巨-匚)@一)/(工*几)/廾]	􅝞
[((巨-匚)@一)/(工*几)/木]	􃏠
[((巨-匚)@一)/(米*口)/寸]	􄫜
[((巨-匚)@一)/廾]	􅝴
[((巨-匚)@一)/方]	􅆾
[((巨-匚)@十)/(同-(一/口)+(弓*〡*弓))]	􄒝
[((平-十)/(同-(一/口)+共))*于]	􃓀
[((弔-ㄅ+ㄇ)-十+才)/心]	􄽩
[((彰-章)*?)/?]	􂯟
[((惠-心)*殳)/土]	􂆕
[((暴-(日/共))/廾)*頁]	􂸤
[((曹-日)-日+口)/(冗-几+(並-(前-刖)))]	􅗱
[((梳-木)-、)+(采-木+(工/山))]	􅗀
[((棄-ㄊ)-木+(冉-土+(┴/十)))*(廾*(┴/卜))]	􄘴
[((止/石)*谷)/土]	􅥀
[((步/里)*ㄆ)/(烈-列)]	􃖘
[((武-止+目)-、)-一+(下-〡)]	􅣬
[((烈-列+(魚/大))*隹)/乃]	􃜮
[((牙-才+十)*ㄆ)/里]	􅬈
[((牙-才+木)*ㄆ)/(厂@刀)]	􃉳
[((甘/肉)*犬)/土]	􃭗
[((病-〦+止)-丙+果)*頁]	􂌰
[((痺-〦+止)-(白-日+田)+日)*頁]	􂌯
[((白-日+田)/廾)*頁]	􂋁
[((百/木)*殳)/心]	􄽧
[((盥-水+白)-)/几]	􂁦
[((看-目)*月)/土]	􄣯
[((看-目)*月)/心]	􅛜
[((素-糸)*(素-糸))/手]	􃶞
[((素-糸)*刀)/石]	􂒂
[((素-糸)*刀)/言]	􂮵
[((素-糸)*刀)/里]	􄤷
[((素-糸)*力)/石]	􂈶
[((素-糸)*殳)/束]	􄁣
[((綴-糸)/酉)*頁]	􄻘
[((羍-干+十)*丸)/衣]	􄃫
[((耜-耒)*(乞-乙+(、/、)))/酉]	􄸹
[((耜-耒)*殳)/金]	􄵝
[((耜-耒)/└)*頁]	􃟧
[((耜-耒)/十)*(〦/米)]	􅃖
[((耜-耒)/正)*(〦/米)]	􅃘
[((舛-夕)*(口/又))/牛]	􄺽
[((色-巴)/(〡*日)/ㄆ)*風]	􅖸
[((蕞-曰+(了-(丁-一)))-目+日)-又+(乳-孚)]	􂧭
[((虎-儿+巾)*(口/又))/貝]	􅛞
[((褱-衣)/十)*毛]	􃳬
[((豕-ㄑ)-一+((巨-匚)@一))*貴]	􃣌
[((辟-辛)/千)*辛]	􄠭
[((辟-辛)/子)*(士/干)]	􄴀
[((辟-辛)/月)*辛]	􃠒
[((釆-木)/目)*且]	􅭌
[((阜-十)/└)*頁]	􅧉
[((雪-雨)/(土*矢))*(百-日+ㄎ)]	􂋳
[((雪-雨)/(雪-雨))*(〦/米)]	􃢕
[((雪-雨)/(雪-雨))*隹]	􄫑
[((雪-雨)/月)*支]	􃉛
[((雪-雨+├)/一)*ㄆ]	􅭸
[((魅-未+斗)-ㄙ)-(白-日)]	􅕡
[((黍-(企-止))*ㄉ)/牛]	􃷷
[(*殳)/金]	􂀰
[(?*(乞-乙+一))/木]	􂦞
[(?*(口/ㄆ))/皿]	􂮛
[(?*(囗@卄))/日]	􄀶
[(?*?)/八]	􄅺
[(?*寸)/目]	􃭩
[(?*昜)/皿]	􃯠
[(?*殳)/止]	􃎧
[(?*犬)/?]	􂳙
[(?/(舛-夕))*殳]	􂺍
[(?/木)*頁]	􃱖
[(⊥*白)/儿]	􂜡
[(┌@一)/一/明]	􃻓
[(┐@一)/一/(仁-二+巾)]	􄂫
[(┐@一)/一/(夕*巾)]	􄅇
[(┐@一)/一/粉]	􄆕
[(┐@一)/一]	􄇅
[(┐@一)/豕]	􃫋
[(┐@三)*(田/?)]	􂲭
[(└@(止/貝))*斤]	􃦣
[(└@(耜-耒))*巳]	􄕹
[(└@(耜-耒))*責]	􄋩
[(└@(耜-耒))*頁]	􄊭
[(└@(阜-十))*責]	􅣵
[(└@主)/六]	􅆼
[(└@乂)/明]	􃰕
[(└@人)/明]	􃮗
[(└@口)/目]	􃩸
[(└@手)*頁]	􅐶
[(└@米)/大]	􃁌
[(├/((巨-匚)@一)/一)*殳]	􅭿
[(├/((巨-匚)@一)/小)*(敲-高)]	􄒪
[(├/(冉-十+卄))*又]	􃾲
[(├/(同-(一/口)))*又]	􅔖
[(├/(同-(一/口)+(共-八)))*又]	􃨿
[(├/(同-(一/口)+、))*又]	􃪨
[(├/乙)*欠]	􃣗
[(├/匚)*又]	􃽉
[(┤*║*├)/一]	􄉯
[(┤*〡)/一]	􃩟
[(○*○)/○]	􂵀
[(○*○*○)/(○*○*○)]	􂴣
[(○*○*○)/＝/─]	􃎹
[(○*○*○)/＝]	􂳄
[(○@初)/((○@衣)*(○@佛))]	􂹒
[(○@牛)/((○@牛)*(○@牛))]	􃀦
[(⺡*廌)/(⬤-⺡)]	􂂻
[(⺡*欠)/女]	􂂂
[(、廾、)/口]	􄨃
[(、廾、、、)/(口/(之-、))]	􅍟
[(、廾、、、)/日]	􄾤
[(、廾、、、、)/(口/(之-、))]	􄭗
[(、廾、、、、)/日]	􅇤
[(、廾八、)/日]	􅋂
[(、廾八、)/月]	􅋥
[(、廾八、)/目]	􅢞
[(、廾八、、)/心]	􅎌
[(、廾小、)/日]	􅆟
[(〡*且)/乂]	􄿛
[(〡*日)*男]	􅅫
[(〡*日)/一/(儿@丰)]	􄚆
[(〡*日)/一/用]	􄴒
[(〡*白)/兒]	􄙪
[(〡*臣*巳)/女]	􃒠
[(〣*田)/山/((伒*斤)/一)]	􂯠
[(〦-一+尸)@女]	􂫁
[(〦-一+尸)@豕]	􂳬
[(〦/(光-儿+米))*(〦/(光-儿+米))]	􄸁
[(〦/(戉-戈))*ㄗ]	􃷛
[(〦/(敝-ㄆ))*殳]	􅃓
[(〦/(狂-王))*隻]	􄽨
[(〦/(目*目)/大)*斗]	􃔷
[(〦/(目*目)/大)*毛]	􃓙
[(〦/(目*目)/大)*頁]	􃾤
[(〦/(米-木+大))/(〦/米)]	􄞌
[(〦/倠)/月]	􅃛
[(〦/儿)*羽]	􄇿
[(〦/日)*(山/大)]	􂰇
[(〦/日)*戈]	􄏺
[(〦/日)*首]	􃖲
[(〦/日/万)*毛]	􂩾
[(〦/東)*(又/米)]	􄬟
[(〦/業)*九]	􅁳
[(〦/米)*ㄆ]	􅩯
[(〦/米)*毛]	􃔅
[(〦/米)*甚]	􅖔
[(〦/米)*矣]	􃔴
[(〦/米)*頁]	􃗸
[(〦/米)/目]	􅈐
[(〦/糸)*支]	􃵖
[(〦/羊)*(卑-(白-日))]	􄡹
[(〦/羊)*(夙-歹+辛)]	􄫦
[(〦/羊)*(風-(乏-之+虫)+(〦/羊))]	􄻨
[(〦/賏)*毛]	􂈟
[(ㄆ/ㄆ/木)*(犮-乂+又)]	􂔱
[(ㄇ@(人*人))/(┌@一)/一]	􃿮
[(ㄇ@(人*人))/口/肉]	􃯵
[(ㄇ@(人*人))/音]	􃱶
[(ㄇ@(人*人))/齊]	􄁖
[(ㄇ@(人/人))*力]	􄷁
[(ㄇ@(企-止))/(厂@(林/正))]	􅫣
[(ㄇ@(企-止))/(栵-歹)]	􃺌
[(ㄇ@(企-止))/(糸*貞)]	􂥻
[(ㄇ@(企-止))/(紿-口+月)]	􃟵
[(ㄇ@(企-止))/卷]	􄊋
[(ㄇ@(企-止))/圭]	􅮞
[(ㄇ@(企-止))/弟]	􂈤
[(ㄇ@(企-止))/惟]	􅮝
[(ㄇ@(企-止))/木]	􂣹
[(ㄇ@(企-止))/歷]	􅞢
[(ㄇ@(企-止))/齊]	􂫳
[(ㄇ@(企-止))/龍]	􅘐
[(ㄇ@ㄙ)/月]	􅎇
[(ㄇ@ㄨ)/組]	􃖹
[(ㄇ@乂)/(具-八)]	􅈡
[(ㄇ@乂)/(直-十)]	􄮋
[(ㄇ@乂)/(紿-口+月)]	􅂍
[(ㄇ@乂)/ㄙ/月]	􄍞
[(ㄇ@乂)/且]	􃖼
[(ㄇ@乂)/免]	􅜤
[(ㄇ@乂)/匕]	􅌉
[(ㄇ@乂)/卓]	􄳫
[(ㄇ@乂)/古]	􃖻
[(ㄇ@乂)/圭]	􄐁
[(ㄇ@乂)/尉]	􅛲
[(ㄇ@乂)/曾]	􄜌
[(ㄇ@乂)/音]	􄣳
[(ㄇ@乂)/齊]	􅔑
[(ㄇ@人)/(紿-口+月)]	􃤣
[(ㄇ@人)/〦/日]	􃻼
[(ㄇ@人)/〦/月]	􃩢
[(ㄇ@人)/ㄙ/月]	􃓈
[(ㄇ@人)/剎]	􅫟
[(ㄇ@人)/孚]	􅙖
[(ㄇ@人)/比]	􃶱
[(ㄇ@人)/沓]	􂤫
[(ㄇ@人)/瓜]	􃢠
[(ㄇ@人)/童]	􅞛
[(ㄇ@人)/綽]	􃤁
[(ㄇ@人)/舟]	􅒷
[(ㄇ@人)/音]	􂍟
[(ㄇ@儿)/且]	􅫠
[(ㄇ@儿)/具]	􅫡
[(ㄇ@儿)/古]	􅫞
[(ㄇ@卄)/日]	􃟂
[(ㄇ@又)/主]	􄱉
[(ㄇ@又)/圭]	􃖗
[(ㄊ/肖)*ㄆ]	􃲒
[(ㄎ-一+土)*(口/ㄆ)]	􄳼
[(ㄐ*〡)/(乏-之)]	􂎺
[(ㄓ/(ㄇ@一))*殳]	􄂉
[(ㄙ*〡*人)/大]	􄧊
[(ㄙ*ㄙ)/蚨]	􂩃
[(ㄙ*巳)/田]	􅫍
[(ㄙ/尸)*支]	􅕹
[(ㄙ/月)*力]	􃌆
[(ㄙ/月)*瓦]	􅆮
[(ㄙ/月)*長]	􄍸
[(ㄙ/月)*頁]	􃋵
[(ㄠ*車*ㄠ)/(└@乂)]	􃮉
[(ㄠ*車*ㄠ)/(匚@一)]	􄺲
[(ㄥ/(白-日+((烈-列)-、)))*ㄆ]	􄼨
[(一*一)/冊]	􂀕
[(一*一)/昍]	􂾜
[(一+一)/册]	􂀠
[(一/(ㄠ*ㄠ)/一)/心]	􅄕
[(一/ㄠ)*(乳-孚)]	􅁽
[(一/人*人/工)*見]	􃞁
[(一/几)*危]	􂐊
[(一/几)*頁]	􄮠
[(一/几)*鳥]	􃢘
[(一/口/睪)*(滅-氵)]	􁻔
[(一/坐)*見]	􅣛
[(一/尢)*見]	􅄖
[(一/尢)*頁]	􅊆
[(一/巾)*巳]	􂬜
[(一/正)*虎]	􃑖
[(一/血)*半]	􃩷
[(一/韋)*(ㄆ/田)]	􃺁
[(一/韋)*否]	􃋤
[(上/(同-(一/口)))*(口/又)]	􅑁
[(上/?/日)*殳]	􂊩
[(上/下)*寸]	􂟨
[(上/夕)*(离-禸)]	􃯱
[(上/夕)*古]	􅛿
[(上/天)*(人/米)]	􃖂
[(上/天)*(企-止+米)]	􂝩
[(上/天)*(入/米)]	􃔞
[(上/天)*(入@未)]	􅉬
[(上/天)*余]	􃤲
[(上/天)*頁]	􃠘
[(上/夫)*頁]	􅍾
[(上/水)*頁]	􅙺
[(上/火)*頁]	􄨣
[(上/矢)*(企-止+米)]	􃧴
[(上/矢)*(又/米)]	􄮹
[(上/矢)*(堔-土)]	􄊵
[(上/矢)*余]	􂍇
[(上/矢)*烏]	􃊝
[(上/示)*余]	􂦍
[(上/禾)*(入*米)]	􄔄
[(上/禾)*(入/米)]	􄐉
[(上/米)*(企-止+米)]	􄌽
[(上/脊)*殳]	􂬔
[(不-〡)/(夙-(一/歹)+(瞿-隹+(┐/一)))]	􅐍
[(不/工)*頁]	􄭬
[(世/冉-土+(┴/十))*力]	􅗏
[(並-(前-刖))/(囟-乂)]	􅓜
[(並-(前-刖))/八]	􄬧
[(並-(前-刖))/甫]	􃴫
[(並-(前-刖)+一)/隹]	􃋨
[(中-口+○)-│+卜]	􂳡
[(中/?)*欠]	􃣋
[(丮-(舉-與))/直]	􃀮
[(丰*力)/石]	􂇁
[(丹-、+十)*巳]	􅗚
[(主*丸)/火]	􄢆
[(乂/ㄙ)*(乂/ㄙ)]	􃺇
[(乂/木)*ㄆ]	􂤁
[(乂/木)*武]	􃋧
[(乃@(、/、))*(百/ㄆ)]	􅄌
[(乃@(、/、))*夏]	􅄊
[(乃@人)/木]	􅇑
[(乍-(乞-乙)+白)*旬]	􂰛
[(乏-之)/一/貝]	􅘤
[(乏-之+(虫-、))*(冗-几+用)]	􅥦
[(乏-之+(虫-、))*(尤-尢+氏)]	􄚹
[(乏-之+(虫-、))*(罩-卓+用)]	􅥧
[(乏-之+(虫-、))*氏]	􃢋
[(乏-之+(虫-、))*黽]	􅥥
[(乏-之+未)*(尸@手)]	􅀞
[(乏-之+未)*(而/而)]	􄿿
[(乏-之+未)*康]	􅨖
[(乏-之+虫)*((向-口+人)/比)]	􃞻
[(乏-之+虫)*(ㄊ/廾)]	􄶖
[(乏-之+虫)*(一/几)]	􅥶
[(乏-之+虫)*(云/木)]	􃪼
[(乏-之+虫)*(公/儿)]	􄚘
[(乏-之+虫)*(宜/八)]	􅎡
[(乏-之+虫)*(序-予+千)]	􃣥
[(乏-之+虫)*(序-予+干)]	􅥷
[(乏-之+虫)*(廷-壬+手)]	􃢡
[(乏-之+虫)*(日/工)]	􄶭
[(乏-之+虫)*(田/廾)]	􅥨
[(乏-之+虫)*(白-日+(丹-、+十))]	􃝘
[(乏-之+虫)*(而/而)]	􅥩
[(乏-之+虫)*(葛-(└@人)+匕)]	􅥲
[(乏-之+虫)*(襄-(口*口))]	􅥬
[(乏-之+虫)*(襄-(口*口)+(ㄙ*ㄙ))]	􅥭
[(乏-之+虫)*?*ㄆ]	􅂥
[(乏-之+虫)*兀]	􄖌
[(乏-之+虫)*元]	􃠈
[(乏-之+虫)*冬]	􄎾
[(乏-之+虫)*到]	􃢇
[(乏-之+虫)*匊]	􃝓
[(乏-之+虫)*善]	􂪻
[(乏-之+虫)*敢]	􅥴
[(乏-之+虫)*曲]	􄰯
[(乏-之+虫)*有]	􄰰
[(乏-之+虫)*未]	􅛱
[(乏-之+虫)*朱]	􃸂
[(乏-之+虫)*束*頁]	􃝚
[(乏-之+虫)*炎]	􄠷
[(乏-之+虫)*燕]	􃢢
[(乏-之+虫)*率]	􄾠
[(乏-之+虫)*胃]	􃠜
[(乏-之+虫)*薨]	􄜡
[(乏-之+虫)*重]	􃤱
[(乏-之+虫)*隹]	􄡋
[(乖-北+(万*万))/千]	􄣁
[(乖-北+(人*人))/一/十]	􃬥
[(乖-北+(刀*刀))/干]	􄘐
[(乖/土)*央]	􂇥
[(九/十)*隹]	􄳡
[(九/木)*斤]	􅉘
[(九/木)*見]	􅄥
[(乞-乙+((巨-匚)@一))*式]	􅛖
[(乞-乙+((巨-匚)@十))*式]	􅑲
[(乞-乙+((巨-匚@一)/(、*、*、)))*(弋-、+?)]	􄔮
[(乞-乙+其)*欠]	􄀾
[(乞-乙+几)*(瓦-(百-日))]	􅓇
[(乞-乙+止)*(口/寸)]	􂭁
[(乞-乙+止)*夬]	􄙤
[(二*ㄆ)/耳]	􂌖
[(二*二)/賏]	􄓙
[(二/日)*(首-目+日)]	􃩼
[(二/日)*戈]	􄗄
[(二/目)*戈]	􄑬
[(云*云)/ㄆ]	􄃮
[(云-一)/男]	􅬢
[(云-二)/有]	􅣠
[(互-口+一)*鳥]	􅒚
[(亞-(一/(卄-一))+卯)*斤]	􅨎
[(亠/中/巾)*玄]	􂃿
[(亢*生)/心]	􅘺
[(亦*欠)/虫]	􄋊
[(亦*殳)/虫]	􅥡
[(京-口+日)*力]	􃣝
[(人*〡*ㄑ)/兀]	􅎱
[(人*〡*人)/大]	􄗷
[(人*人)/(咎-口+月)]	􃥵
[(人*人)/一/廾]	􃴤
[(仁-二)*?*中]	􂟳
[(仁-二+(天*亍))/心]	􅄨
[(仁-二+品)/言]	􂧙
[(仁-二+日)/(耳*(可-口+二))]	􅂛
[(仁-二+正)*ㄗ]	􅬉
[(仁-二+爾)*也]	􂝐
[(仁-二+爾)/也]	􂝵
[(仁-二+王)/女]	􄛫
[(今/商)*欠]	􃾯
[(代@二)/且]	􅆋
[(企-止+((巨-匚)@十))*式]	􅘛
[(企-止+(├/日/口))*(司-(一/口)+(口/又))]	􃘎
[(企-止+爾)/土]	􃭠
[(企-止+爾)/虫]	􅚲
[(企-止+米)/心]	􄨀
[(伭-〦+工)*(白-日+丁)]	􂏄
[(伯/ㄆ)*毛]	􄭟
[(但-一)*亍]	􂭽
[(來*力)/厘]	􄊩
[(來*力)/止]	􂛴
[(來*力)/毛]	􄋷
[(來*力)/里]	􄐱
[(來-(人*人)+(前-刖))*力]	􄚢
[(侮-母+小)/也]	􂤍
[(侯-矢+天)*頁]	􃬁
[(修-(仁-二)+彳)/心]	􄫟
[(倪-臼+白)*也]	􂇵
[(傘-(企-止)+一)-┬+(厂@工)]	􃪴
[(傘-(企-止+十))/月]	􂰐
[(光-儿+?)*?]	􂒠
[(光-儿+┴)/心]	􃡾
[(入/口/酉)*(ㄊ/日)]	􄹷
[(公/儿)*頁]	􄪑
[(六/木)*ㄆ]	􄪲
[(共-八+冉)*頁]	􂳎
[(共-八+隹)*見]	􅝅
[(其-(一/八)+(冗-几+羊))*州]	􂈗
[(冉-土+(┴/十))*(冉-土+(┴/十))]	􄍆
[(冉-土+(┴/十))*可]	􅈈
[(冉-土+(久/人))/水]	􄊂
[(再-土+(┴/十))*寸]	􄖷
[(再-土+(┴/十))/死]	􅋅
[(冗-几+(王/南))*(瓦-(百-日))]	􅑀
[(冗-几+(王/隹))*于]	􅁝
[(冗-几+具)*鳥]	􅦀
[(冗-几+豕)/土]	􅏭
[(冗-几+豕)/虫]	􄠕
[(冰-水)*(前-刖+右)]	􄿞
[(冰-水+(凡@、))/木]	􄽲
[(冰-水+(臣*又))/土]	􃉘
[(冰-水+〡)*(利-禾+(朕-月))]	􄫐
[(冰-水+〡)*(利-禾+(栚-木))]	􅟐
[(冰-水+〡)*(利-禾+(美-(王/大)+(二/八)))]	􄖔
[(冰-水+〡)*(夕/寸)]	􅇥
[(冰-水+〡)*(美-大+八)*(利-禾)]	􄿚
[(冰-水+〡)*(采-木+(一/水))]	􅂖
[(冰-水+〡)*ㄆ]	􂊂
[(冰-水+〡)*叉]	􄢇
[(冰-水+〡)*夫]	􃒔
[(冰-水+刃)/木]	􂕼
[(冰-水+十)*(爭-(采-木)+(色-巴))]	􄏋
[(冰-水+斬)/耳]	􂲚
[(冰-水+日)/(小-(丁-一)+ㄎ)]	􂬦
[(冰-水+王)/鳥]	􂨉
[(几/夕)*頁]	􂛗
[(几@水)/(几@山)]	􂯐
[(凵@(几/口))*比]	􃶂
[(凵@(坐-工))/(凵@(人*人))]	􄽮
[(凵@(暴-(日/共)))/(敲-高+壴)]	􃊃
[(凵@人)/女]	􃵹
[(凵@入)/月]	􂌔
[(凵@又)/(匚@一)]	􅜲
[(凵@又)/几]	􃤥
[(凵@又)/凡]	􄑐
[(凵@又)/月]	􂕹
[(凵@口)/田/(夙-歹+(舉-與))]	􃨐
[(凶-ㄨ)+丰]	􂀔
[(出*出)/厂/和]	􂀒
[(出/万)*頁]	􅈨
[(出/方)*各]	􄇡
[(出/示)*(又/米)]	􃨽
[(刀*刀)/(止*止)]	􃡖
[(刀*刀)/止]	􄥝
[(刀/又)*頁]	􂛙
[(刃*刃)/心]	􅙎
[(列-、)/木]	􅏐
[(利-禾)*(ㄊ/木)]	􄺋
[(利-禾)*勿]	􃵰
[(利-禾+((來-(人*人)+(前-刖))))/齒]	􄦬
[(利-禾+(〦/(米-木+大)))/毛]	􄠺
[(利-禾+(〦/米))/齒]	􅇔
[(利-禾+?)/耳]	􃣍
[(利-禾+井)/土]	􅥁
[(剌-口+(俎-且+(俎-且)))-木+夫]	􄇘
[(前-刖)/一/皿]	􅘢
[(前-刖)/即]	􅆸
[(前-刖)/目/大]	􄨆
[(前-刖+((巨-匚)@一))*皮]	􄴸
[(前-刖+((必-心)*、*、*、)*寸)/日]	􃗆
[(前-刖+(前-刖))/(妄-、)]	􅏆
[(前-刖+(十-一+└))/鳥]	􃥰
[(前-刖+?)*鳥]	􅀑
[(前-刖+口)*欠]	􄖽
[(前-刖+止)*犬]	􃵈
[(前-刖+缶)*馬]	􃺉
[(匕/示)*(入/米)]	􂈍
[(匕/示)*余]	􂨊
[(匚@(米-木+大))*(口/一/乂)]	􄚤
[(匚@一)/(罩-卓+(月*羊*凡))]	􄡐
[(匚@一)/(罩-卓+(羊*月*凡))]	􄒡
[(匚@一)/(罩-卓+明)]	􅓷
[(匚@一)/(羸-亡-口+(罩-卓))]	􄾜
[(匚@一)/女]	􅝉
[(匚@一)/明]	􃗜
[(匚@一)/目]	􄢈
[(匚@人)*頁]	􅆹
[(匚@土)*頁]	􅐅
[(十/(ㄇ@一))*殳]	􄄨
[(十/(美-(王/大)))/(冗-几+大)]	􅛚
[(十/?)*(色-巴+日)]	􂧮
[(千-〡+止)*頁]	􃙘
[(千-一+(傘-(企-止+十)))-┬+ㄎ]	􅔗
[(千/止)*夬]	􄙒
[(千/止)*尊]	􄞥
[(千/止)*工]	􄵨
[(千/止)*雩]	􅖵
[(千/目)*戈]	􅟏
[(卄/中/土)*寸]	􄢃
[(卄/山/未)*(一(ㄠ-、)/小)]	􅍄
[(卄/干)*(〦-一+平)]	􃘙
[(卄/干)*(卄/并)]	􃝣
[(卄/翕)*毛]	􄠲
[(卄/至)*寸]	􄗮
[(卄/麥)*壬]	􂤤
[(卅/一)/巾]	􄵭
[(卑-(白-日))*頁]	􃟝
[(卑-(白-日))*鳥]	􃠣
[(卓-十+(匚@一))*斤]	􃓆
[(卓-日+田)*犬]	􃏼
[(占@(企-止+米))*合]	􃸢
[(占@必)*咸]	􄋣
[(占@必)/土]	􃹧
[(卬-ㄗ)*〡*可]	􃍷
[(卬-ㄗ+斤)/土]	􃶖
[(危-(夗-夕)+巴)]	􄓠
[(卸-ㄗ)*尊]	􄹶
[(厂-一)*(?/比/?)]	􃋥
[(厂-一)*育]	􃑆
[(厂-一)*臣*巳]	􃥕
[(厂-一)*臣*責]	􃌧
[(厂-一)*臣]	􄄄
[(厂-一+(孛-子))@(工/日)]	􂫌
[(厂@((尸@(口/冏))*犬))/手]	􃽨
[(厂@((既-旡)-日+口))*ㄆ]	􄜽
[(厂@((既-旡)-日+口))*支]	􂣼
[(厂@((既-旡)-日+口))*本]	􂩣
[(厂@((既-旡)-日+口))*殳]	􂢩
[(厂@((既-旡)-日+口))*頁]	􂈙
[(厂@(朕-月))/心]	􄓬
[(厂@(止/少/足))*頁]	􄁶
[(厂@?)*ㄆ]	􂸑
[(厂@?)*頁]	􃀣
[(厂@ㄅ)*頁]	􅀦
[(厂@夾)/心]	􄂎
[(厂@巳)*頁]	􂎁
[(厂@朔)/心]	􂸟
[(去*欠)/皿]	􂚤
[(參-(彰-章)+小)*毛]	􃢾
[(又*又)/日]	􅋖
[(又/(彔-(彖-豕)+(┐@一)))*ㄆ]	􄜨
[(又/又/木)*殳]	􄱾
[(又/木)*ㄆ]	􄋛
[(又/木)*弋]	􅣪
[(又/木)*式]	􃓦
[(又/木)*欠]	􅞚
[(又/木)*頁]	􃳆
[(又/止)*殳]	􃴿
[(又/米)*ㄆ]	􅫓
[(又/米)*翟]	􄖣
[(叉-一)/(瞭-目-(日/小))]	􅆊
[(受-又+(ㄙ/廾))*(〦/羊)]	􄭖
[(受-又+子)*力]	􄨮
[(叡-(谷-口+目))/井]	􃉠
[(口*(契-大))/齒]	􂰒
[(口*(尸@工))/土]	􄐪
[(口*(彖-(彖-豕)+(┐@一)))/虫]	􄚫
[(口*(擊-手))/手]	􂠟
[(口*〡*ㄑ)/兀]	􅐧
[(口*〡*人)/(企-止+(┌/┌/─))]	􃩃
[(口*〡*人)/一/(企-止)]	􄐠
[(口*〡*人)/企]	􅀿
[(口*〡*口)/亡]	􄿴
[(口*〡*口)/兀]	􃗀
[(口*〡*口)/大]	􅆐
[(口*〡*口)/巫]	􄮰
[(口*人)/大]	􄮞
[(口*利)/(尒-小+(恭-共))]	􂖆
[(口*利)/尒]	􅠃
[(口*口)/兀]	􅞙
[(口*口)/凵/(豕-一)]	􃯃
[(口*口)/卞]	􄳪
[(口*口)/口]	􂐱
[(口*口)/田/一]	􄉧
[(口*口)/禾]	􅁵
[(口*口)/貝]	􃣺
[(口*巨)/木]	􃖬
[(口*斬)/耳]	􂲇
[(口*王)/(冏-口+丁)]	􃩺
[(口*皮)/女]	􂔠
[(口*禾*刀)/牛]	􂡼
[(口*聿)/(口/(之-、))]	􄶄
[(口*聿)/足]	􄛶
[(口*黎)-(暴-(日/共))+(恭-共)]	􂤋
[(口/?/頁)/((白-日+田)/廾)]	􂿥
[(口/└/月)*弋]	􅣫
[(口/└/月)*戈]	􃟐
[(口/〡/┐)*欠]	􄬃
[(口/又)*頁]	􂚌
[(口/口)*頁*頁]	􃘛
[(口/安)*鳥]	􅦂
[(口/幵)*ㄆ]	􅌌
[(口/幵)*皮]	􅂉
[(口/米)*殳]	􃧛
[(古/(冗-几+虫))*(土/口/小)]	􅁁
[(古/(舉-與))*色]	􂊫
[(句-口+小)/(句-口+小)]	􃟡
